County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Kings,County Total,2011,,59014,18182,198,347,7090,10547,40832,6144,31752,2936,New York City
Chenango,Chenango County Sheriff,1995,,515,72,1,0,1,70,443,164,270,9,Non-New York City
Orleans,Orleans County Park PD,2010,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Dutchess,Poughkeepsie Town PD,2008,12,1545,59,0,1,32,26,1486,126,1341,19,Non-New York City
Orange,Montgomery Vg PD,2012,12,19,0,0,0,0,0,19,0,19,0,Non-New York City
Clinton,Plattsburgh City PD,2001,,436,38,0,3,2,33,398,58,334,6,Non-New York City
Oneida,Utica City PD,2015,12,2549,350,7,44,87,212,2199,443,1662,94,Non-New York City
Nassau,Rockville Centre Vg PD,2013,12,293,22,1,1,11,9,271,30,223,18,Non-New York City
Fulton,Fulton County Sheriff,2014,12,336,5,0,0,2,3,331,100,226,5,Non-New York City
Westchester,Pelham Manor Vg PD,1996,,287,16,1,1,11,3,271,24,194,53,Non-New York City
Erie,Hamburg Town PD,1995,,1911,224,0,9,19,196,1687,293,1216,178,Non-New York City
Erie,Tonawanda City PD,2012,12,408,22,0,2,4,16,386,38,338,10,Non-New York City
Niagara,Middleport Vg PD,1993,,50,5,0,0,0,5,45,8,35,2,Non-New York City
Erie,Akron Vg PD,2008,12,51,3,0,0,0,3,48,4,44,0,Non-New York City
Broome,Broome County Sheriff,2007,12,833,60,0,13,5,42,773,143,602,28,Non-New York City
Orange,Warwick Town PD,1999,,172,28,0,0,0,28,144,16,120,8,Non-New York City
Otsego,Oneonta City PD,2002,12,365,47,0,4,11,32,318,95,204,19,Non-New York City
Schenectady,Schenectady County Sheriff,2012,12,7,1,0,0,1,0,6,0,6,0,Non-New York City
Chemung,Elmira City PD,1993,,2034,87,3,13,28,43,1947,341,1566,40,Non-New York City
Nassau,County Total,2005,,20760,2565,26,108,1191,1240,18195,2789,13398,2008,Non-New York City
Niagara,Lewiston Town PD,2003,12,201,14,0,2,2,10,187,37,136,14,Non-New York City
Ulster,Shandaken Town PD,1990,,96,9,0,0,0,9,87,52,31,4,Non-New York City
Ulster,Hurley Town PD,1991,,13,1,0,0,0,1,12,3,9,0,Non-New York City
Madison,Madison County Park PD,2002,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Chenango,Afton Vg PD,1991,,38,4,0,2,0,2,34,5,25,4,Non-New York City
Suffolk,Northport Vg PD,2006,12,72,2,0,0,1,1,70,8,60,2,Non-New York City
Washington,Granville Vg PD,1999,,76,7,0,2,1,4,69,14,53,2,Non-New York City
Niagara,Niagara County State Police,1999,,230,11,0,1,5,5,219,44,160,15,Non-New York City
Ulster,Kingston City PD,1997,,1203,85,0,9,40,36,1118,147,927,44,Non-New York City
Schoharie,SUNY College At Cobleskill,1990,,123,2,0,2,0,0,121,60,61,0,Non-New York City
Nassau,Nassau County State Police,2009,12,14,2,0,0,0,2,12,0,11,1,Non-New York City
Putnam,Putnam Valley Town PD,1995,,185,5,0,2,0,3,180,58,112,10,Non-New York City
Fulton,Fulton County State Police,2002,12,139,14,0,1,1,12,125,18,105,2,Non-New York City
Suffolk,East Hampton Town PD,2003,12,447,8,0,1,1,6,439,94,326,19,Non-New York City
Erie,Buffalo City PD,1990,,29182,5276,38,355,2172,2711,23906,8163,12203,3540,Non-New York City
Ontario,Ontario County Park PD,2000,,2,0,0,0,0,0,2,1,1,0,Non-New York City
Westchester,Mount Kisco Vg PD,1994,,312,57,0,3,9,45,255,31,210,14,Non-New York City
Westchester,Larchmont Vg PD,1997,,121,3,0,0,1,2,118,11,84,23,Non-New York City
Genesee,Genesee County Sheriff,1993,,604,23,1,5,1,16,581,195,347,39,Non-New York City
Chautauqua,Chautauqua County State Police,2004,12,174,22,0,3,0,19,152,45,97,10,Non-New York City
Suffolk,Suffolk County State Police,2007,12,44,11,0,0,3,8,33,8,20,5,Non-New York City
Suffolk,Suffolk County State Police,1998,,63,20,0,1,5,14,43,22,20,1,Non-New York City
Chemung,Southport Town PD,2002,12,17,1,0,0,0,1,16,2,13,1,Non-New York City
Steuben,Canisteo Vg PD,1996,,79,13,0,0,0,13,66,22,43,1,Non-New York City
Tompkins,County Total,1994,,4468,134,0,15,50,69,4334,820,3416,98,Non-New York City
Otsego,Otsego County State Police,2003,12,550,71,0,8,2,61,479,148,326,5,Non-New York City
Ulster,Woodstock Town PD,1997,,154,11,0,0,1,10,143,45,90,8,Non-New York City
Chemung,Horseheads Vg PD,1997,,297,3,0,0,2,1,294,40,254,0,Non-New York City
Oswego,Central Square Vg PD,1994,,17,0,0,0,0,0,17,2,15,0,Non-New York City
Saratoga,South Glens Falls Vg PD,2012,12,98,8,0,1,2,5,90,22,65,3,Non-New York City
Herkimer,Webb Town PD,2006,0,,,,,,,,,,,Non-New York City
Erie,County Total,2005,,34458,5017,59,273,1963,2722,29441,6267,20242,2932,Non-New York City
Orange,Newburgh Town PD,2002,12,1104,42,1,4,18,19,1062,114,921,27,Non-New York City
Onondaga,Manlius Town PD,1995,,533,9,0,1,2,6,524,112,402,10,Non-New York City
Ulster,Woodstock Town PD,2010,12,70,5,0,0,2,3,65,16,46,3,Non-New York City
Madison,Madison County Park PD,2004,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Jefferson,Sackets Harbor Vg PD,2003,12,10,0,0,0,0,0,10,1,9,0,Non-New York City
Monroe,Monroe County Park PD,1993,,10,0,0,0,0,0,10,0,10,0,Non-New York City
Steuben,Addison Vg PD,2001,,17,2,0,0,0,2,15,7,8,0,Non-New York City
Livingston,County Total,2001,,1642,66,0,5,6,55,1576,217,1336,23,Non-New York City
Allegany,Cuba Town PD,2008,12,57,11,0,0,0,11,46,6,39,1,Non-New York City
Ontario,Canandaigua City PD,2009,12,327,34,0,6,5,23,293,30,256,7,Non-New York City
Madison,Canastota Vg PD,2009,12,79,6,0,0,0,6,73,13,59,1,Non-New York City
Orange,Newburgh City PD,2003,12,1577,358,2,26,67,263,1219,344,767,108,Non-New York City
Orange,Warwick Town PD,2003,12,200,3,0,0,2,1,197,33,156,8,Non-New York City
Montgomery,Amsterdam City PD,2005,12,315,71,0,0,3,68,244,66,177,1,Non-New York City
Otsego,Oneonta City PD,2000,,179,22,0,3,3,16,157,48,105,4,Non-New York City
Orange,Montgomery Town PD,1999,,86,5,0,0,0,5,81,6,72,3,Non-New York City
Schoharie,Schoharie Vg PD,2000,,7,0,0,0,0,0,7,2,4,1,Non-New York City
Herkimer,Herkimer County Sheriff,1991,,2,1,0,0,0,1,1,0,1,0,Non-New York City
Tompkins,Cayuga Heights Vg PD,2004,12,58,1,0,0,1,0,57,5,52,0,Non-New York City
Clinton,SUNY College At Plattsburgh,1992,,109,6,0,1,0,5,103,23,80,0,Non-New York City
Orleans,Orleans County Sheriff,2009,12,423,19,0,3,1,15,404,120,271,13,Non-New York City
Sullivan,Sullivan County State Police,2007,12,641,111,0,11,3,97,530,139,347,44,Non-New York City
Westchester,Port Chester Vg PD,2013,12,620,48,0,2,19,27,572,67,483,22,Non-New York City
Allegany,Allegany County State Police,1998,,383,24,1,4,2,17,359,216,130,13,Non-New York City
Rockland,Piermont Vg PD,1995,,69,7,0,0,1,6,62,16,42,4,Non-New York City
Schuyler,Watkins Glen Vg PD,2010,12,95,0,0,0,0,0,95,12,82,1,Non-New York City
Cattaraugus,Cattaraugus County State Police,1993,,603,42,0,5,4,33,561,180,369,12,Non-New York City
Chenango,County Total,2006,,1108,96,0,14,2,80,1012,244,752,16,Non-New York City
Jefferson,Jefferson County State Police,1993,,579,24,0,9,1,14,555,164,382,9,Non-New York City
Ontario,Ontario County State Police,2003,12,248,16,0,3,1,12,232,37,186,9,Non-New York City
Onondaga,Onondaga County Sheriff,2005,12,1863,174,0,29,44,101,1689,330,1312,47,Non-New York City
Hamilton,Hamilton County State Police,2004,12,43,4,0,1,0,3,39,16,23,0,Non-New York City
Nassau,Floral Park Vg PD,2009,12,85,13,0,0,10,3,72,13,51,8,Non-New York City
Wayne,Macedon Town and Vg PD,2005,12,59,2,0,0,0,2,57,6,50,1,Non-New York City
Suffolk,Suffolk County PD,2017,12,18478,1482,22,119,473,868,16996,1423,14565,1008,Non-New York City
Onondaga,Baldwinsville Vg PD,1999,,174,14,0,4,1,9,160,24,131,5,Non-New York City
Nassau,Kensington Vg PD,1999,,12,1,0,0,1,0,11,2,9,0,Non-New York City
Putnam,Putnam County (RR-MN),1997,,23,0,0,0,0,0,23,0,22,1,Non-New York City
Westchester,North Castle Town PD,2005,12,95,8,0,0,0,8,87,10,75,2,Non-New York City
Monroe,Ogden Town PD,2011,12,269,14,0,1,1,12,255,43,205,7,Non-New York City
Chautauqua,County Total,2017,,2786,346,3,65,57,221,2440,513,1845,82,Non-New York City
Ontario,Geneva City PD,2001,,427,31,0,1,8,22,396,35,351,10,Non-New York City
St Lawrence,Massena Vg PD,1999,,186,8,0,2,1,5,178,33,143,2,Non-New York City
Westchester,North Castle Town PD,1996,,178,4,0,0,2,2,174,33,131,10,Non-New York City
Rockland,Clarkstown Town PD,2005,12,1729,107,1,11,23,72,1622,113,1457,52,Non-New York City
Onondaga,Syracuse University,1999,,191,0,0,0,0,0,191,1,190,0,Non-New York City
Monroe,Fairport Vg PD,2014,12,52,4,0,1,0,3,48,10,36,2,Non-New York City
Broome,Broome County Sheriff,2008,12,1064,56,1,9,7,39,1008,199,784,25,Non-New York City
Dutchess,Millbrook Vg PD,2004,12,5,0,0,0,0,0,5,0,4,1,Non-New York City
Lewis,Lowville Vg PD,2010,12,94,5,0,0,1,4,89,15,71,3,Non-New York City
Westchester,Irvington Vg PD,2011,12,26,2,0,0,1,1,24,3,18,3,Non-New York City
Monroe,East Rochester Vg PD,1992,,260,21,0,0,6,15,239,35,194,10,Non-New York City
Cayuga,County Total,1998,,2032,178,0,10,19,149,1854,393,1406,55,Non-New York City
Albany,Colonie Town PD,2003,12,2794,48,0,12,22,14,2746,371,2272,103,Non-New York City
Rockland,Rockland County Sheriff,1998,,55,8,0,1,0,7,47,1,45,1,Non-New York City
Wayne,County Total,2003,,2255,145,1,22,18,104,2110,472,1574,64,Non-New York City
Dutchess,East Fishkill Town PD,2009,12,428,182,1,1,2,178,246,20,214,12,Non-New York City
Chenango,Afton Vg PD,1993,,38,2,0,0,0,2,36,10,25,1,Non-New York City
Seneca,County Total,1992,,703,36,1,0,1,34,667,108,546,13,Non-New York City
Oswego,Central Square Vg PD,2013,12,56,3,0,0,2,1,53,6,45,2,Non-New York City
Erie,Lancaster Vg PD,1998,,212,10,0,1,1,8,202,57,136,9,Non-New York City
Niagara,Niagara County Sheriff,2009,12,1333,96,2,12,22,60,1237,322,864,51,Non-New York City
Warren,Warren County State Police,1993,,269,11,0,6,2,3,258,49,205,4,Non-New York City
St Lawrence,Norfolk Town PD,2013,12,5,0,0,0,0,0,5,3,1,1,Non-New York City
Seneca,Interlaken Vg PD,1992,,18,0,0,0,0,0,18,4,14,0,Non-New York City
Orange,Tuxedo Town PD,1996,,27,2,0,0,1,1,25,7,16,2,Non-New York City
Nassau,Long Beach City PD,2006,12,333,52,0,0,23,29,281,19,248,14,Non-New York City
Nassau,Nassau County PD,1991,,32649,2287,27,85,1181,994,30362,5609,17562,7191,Non-New York City
Dutchess,Dutchess County State Police,2007,12,825,126,5,19,8,94,699,183,489,27,Non-New York City
Cortland,Cortland County State Police,2005,12,245,14,0,2,1,11,231,27,200,4,Non-New York City
Orange,Harriman Vg PD,2004,12,46,1,0,1,0,0,45,7,36,2,Non-New York City
Wayne,Newark Vg PD,2014,12,315,29,0,5,5,19,286,46,230,10,Non-New York City
Herkimer,Little Falls City PD,2005,12,225,56,0,1,2,53,169,30,131,8,Non-New York City
Herkimer,Herkimer County Sheriff,2004,12,21,0,0,0,0,0,21,0,21,0,Non-New York City
Orange,Port Jervis City PD,1997,,432,67,0,4,8,55,365,48,307,10,Non-New York City
Madison,Hamilton Vg PD,2010,12,18,0,0,0,0,0,18,3,14,1,Non-New York City
Clinton,County Total,1999,,1442,214,0,5,4,205,1228,237,970,21,Non-New York City
Warren,Glens Falls City PD,2002,12,668,36,0,2,4,30,632,117,502,13,Non-New York City
Ontario,Phelps Vg PD,2017,6,2,0,0,0,0,0,2,0,2,0,Non-New York City
Westchester,Mount Pleasant Town PD,2004,12,194,11,0,0,5,6,183,13,156,14,Non-New York City
Broome,Broome County Sheriff,2017,12,552,58,0,16,6,36,494,80,396,18,Non-New York City
Washington,Washington County Sheriff,2015,12,230,14,1,7,0,6,216,41,170,5,Non-New York City
Tompkins,Tompkins County Sheriff,2003,12,528,15,1,3,4,7,513,102,390,21,Non-New York City
Yates,Yates County State Police,2006,12,33,7,0,1,0,6,26,3,23,0,Non-New York City
Schenectady,Glenville Town PD,1994,,474,35,0,2,2,31,439,108,309,22,Non-New York City
Jefferson,Jefferson County Park PD,2017,12,12,0,0,0,0,0,12,1,11,0,Non-New York City
Dutchess,Poughkeepsie Town PD,2012,12,1441,54,0,2,26,26,1387,85,1291,11,Non-New York City
Chemung,Elmira Heights Vg PD,1993,,170,20,0,1,0,19,150,26,124,0,Non-New York City
Livingston,Livingston County State Police,2006,12,113,29,0,13,1,15,84,11,72,1,Non-New York City
Rockland,Haverstraw Vg PD,2002,12,223,68,0,2,10,56,155,35,108,12,Non-New York City
Jefferson,Jefferson County Park PD,2004,12,22,1,0,0,0,1,21,0,20,1,Non-New York City
Rensselaer,North Greenbush Town PD,2006,12,181,30,0,1,1,28,151,16,135,0,Non-New York City
Westchester,Yonkers City PD,1990,,10644,1263,18,43,829,373,9381,1980,4895,2506,Non-New York City
Ulster,Kingston City PD,1991,,1398,108,2,9,31,66,1290,263,971,56,Non-New York City
Otsego,Otsego County Park PD,1993,,5,1,0,0,0,1,4,0,4,0,Non-New York City
Cortland,Cortland County State Police,1992,,346,22,0,1,3,18,324,42,272,10,Non-New York City
Cayuga,Cayuga County (RR-RC),1990,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Tompkins,Trumansburg Vg PD,2005,0,,,,,,,,,,,Non-New York City
Broome,Vestal Town PD,2004,12,536,9,0,0,0,9,527,27,492,8,Non-New York City
Chenango,County Total,2017,,685,81,3,45,3,30,604,116,478,10,Non-New York City
Rensselaer,County Total,1996,,6044,503,2,50,179,272,5541,1434,3816,291,Non-New York City
Albany,Bethlehem Town PD,1993,,702,49,0,1,4,44,653,94,549,10,Non-New York City
Genesee,LeRoy Vg PD,2002,12,110,3,0,0,0,3,107,22,80,5,Non-New York City
Livingston,Livingston County Sheriff,2006,12,851,34,1,7,3,23,817,92,708,17,Non-New York City
Cattaraugus,Cattaraugus County Park PD,2000,,30,4,0,0,0,4,26,3,23,0,Non-New York City
Nassau,Kensington Vg PD,2011,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Suffolk,Amityville Vg PD,2011,12,177,8,0,0,6,2,169,19,145,5,Non-New York City
Seneca,Seneca County State Police,2005,12,141,11,0,7,0,4,130,35,93,2,Non-New York City
Sullivan,Sullivan County State Police,1994,,839,91,1,8,8,74,748,378,345,25,Non-New York City
Dutchess,Dutchess County State Police,1997,,881,129,0,4,7,118,752,180,547,25,Non-New York City
Montgomery,Amsterdam City PD,2009,12,262,95,0,0,0,95,167,51,113,3,Non-New York City
Franklin,Malone Vg PD,2017,12,163,27,0,12,1,14,136,31,100,5,Non-New York City
Albany,Colonie Town PD,2001,,3170,86,0,11,41,34,3084,423,2553,108,Non-New York City
Delaware,Sidney Vg PD,1994,,218,12,0,1,0,11,206,36,159,11,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2009,12,159,4,0,0,0,4,155,26,121,8,Non-New York City
Washington,County Total,1996,,1150,62,0,4,3,55,1088,274,803,11,Non-New York City
Franklin,Malone Vg PD,2006,12,170,23,1,6,0,16,147,22,125,0,Non-New York City
Hamilton,Inlet Town PD,1999,,36,1,0,0,0,1,35,14,21,0,Non-New York City
Columbia,Philmont Vg PD,2017,12,6,0,0,0,0,0,6,2,4,0,Non-New York City
Fulton,Fulton County Sheriff,2002,12,384,17,0,3,1,13,367,72,274,21,Non-New York City
Schoharie,Schoharie Vg PD,1997,,5,0,0,0,0,0,5,2,3,0,Non-New York City
Dutchess,Dutchess County Sheriff,2017,12,477,54,1,13,6,34,423,82,326,15,Non-New York City
Herkimer,Frankfort Town PD,1995,,17,0,0,0,0,0,17,8,8,1,Non-New York City
Schuyler,Schuyler County State Police,2010,12,42,4,0,0,1,3,38,8,29,1,Non-New York City
Chautauqua,Ellicott Town PD,1992,,280,39,0,1,5,33,241,36,199,6,Non-New York City
Erie,West Seneca Town PD,2007,12,972,77,1,8,19,49,895,166,691,38,Non-New York City
Hamilton,Hamilton County Sheriff,2002,12,18,1,0,0,0,1,17,3,9,5,Non-New York City
Oneida,Oneida County State Police,2003,12,657,80,0,6,1,73,577,187,368,22,Non-New York City
Orleans,Medina Vg PD,1997,,274,18,0,2,6,10,256,51,192,13,Non-New York City
Steuben,Hammondsport Vg PD,2009,4,6,0,0,0,0,0,6,1,5,0,Non-New York City
Oneida,Oneida County Sheriff,2017,12,408,137,0,102,4,31,271,40,217,14,Non-New York City
Madison,Hamilton Vg PD,2000,,41,0,0,0,0,0,41,4,36,1,Non-New York City
Steuben,Painted Post Vg PD,1993,,55,5,0,0,0,5,50,20,29,1,Non-New York City
Hamilton,Hamilton County Sheriff,2011,12,9,0,0,0,0,0,9,5,4,0,Non-New York City
Westchester,Eastchester Town PD,1999,,346,10,0,0,3,7,336,22,264,50,Non-New York City
Oneida,County Total,2001,,6726,602,11,76,223,292,6124,1339,4503,282,Non-New York City
Washington,Washington County State Police,2014,12,177,19,0,2,1,16,158,30,120,8,Non-New York City
Westchester,Croton-On-Hudson Vg PD,1999,,143,8,0,0,1,7,135,22,107,6,Non-New York City
Westchester,Pleasantville Vg PD,1992,,154,16,0,3,1,12,138,22,104,12,Non-New York City
Rensselaer,Troy City PD,1999,,2447,293,1,15,106,171,2154,583,1400,171,Non-New York City
Rensselaer,Rensselaer County State Police,1992,,598,36,0,10,4,22,562,178,360,24,Non-New York City
Monroe,Brighton Town PD,2002,12,1032,21,0,5,13,3,1011,111,847,53,Non-New York City
Madison,Cazenovia Vg PD,1991,,117,4,0,0,0,4,113,9,103,1,Non-New York City
Nassau,Garden City Vg PD,2008,12,276,11,0,0,10,1,265,22,233,10,Non-New York City
Columbia,Columbia County (RR-RC),1995,,4,0,0,0,0,0,4,0,4,0,Non-New York City
Montgomery,County Total,2004,,726,56,0,6,2,48,670,140,518,12,Non-New York City
Rensselaer,Rensselaer City PD,2006,12,263,18,1,1,6,10,245,60,179,6,Non-New York City
Onondaga,Baldwinsville Vg PD,2013,12,93,5,0,0,1,4,88,10,77,1,Non-New York City
Livingston,Avon Vg PD,2008,12,51,1,0,0,0,1,50,6,42,2,Non-New York City
Nassau,Kensington Vg PD,1996,,6,1,0,0,1,0,5,1,4,0,Non-New York City
Westchester,Bronxville Vg PD,1993,,151,10,0,0,4,6,141,25,87,29,Non-New York City
Albany,Menands Vg PD,2006,12,152,5,0,0,1,4,147,20,120,7,Non-New York City
Nassau,Rockville Centre Vg PD,1992,,771,51,0,0,31,20,720,100,525,95,Non-New York City
Erie,Cheektowaga Town PD,1998,,3276,143,0,12,74,57,3133,520,2295,318,Non-New York City
Steuben,Painted Post Vg PD,2007,12,53,1,0,0,0,1,52,0,52,0,Non-New York City
Washington,County Total,1998,,1375,247,0,18,3,226,1128,349,759,20,Non-New York City
Westchester,Greenburgh Town PD,2017,12,664,51,1,10,18,22,613,31,558,24,Non-New York City
Suffolk,East Hampton Vg PD,1999,,118,1,0,0,1,0,117,17,100,0,Non-New York City
Steuben,Corning City PD,2004,12,627,33,1,7,5,20,594,85,500,9,Non-New York City
Erie,Hamburg Vg PD,2009,12,208,9,0,0,2,7,199,39,155,5,Non-New York City
Orange,Goshen Town PD,2004,12,46,9,0,0,0,9,37,3,33,1,Non-New York City
Ulster,SUNY College at New Paltz,2007,12,90,0,0,0,0,0,90,11,79,0,Non-New York City
Fulton,Johnstown City PD,1998,,269,42,0,0,0,42,227,38,181,8,Non-New York City
Warren,County Total,2003,,1600,135,1,25,10,99,1465,248,1183,34,Non-New York City
Onondaga,Camillus Town and Vg PD,1990,,329,5,0,0,2,3,324,45,275,4,Non-New York City
Wayne,Wayne County Sheriff,1993,,810,30,2,12,2,14,780,223,531,26,Non-New York City
Ontario,Shortsville Vg PD,2011,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cortland,Cortland County State Police,2006,12,221,18,0,0,2,16,203,27,174,2,Non-New York City
Otsego,County Total,2003,,1178,133,0,23,11,99,1045,311,714,20,Non-New York City
Rockland,Haverstraw Town PD,2013,12,404,64,0,3,16,45,340,83,244,13,Non-New York City
Greene,Greene County State Police,1996,,692,185,2,3,2,178,507,201,280,26,Non-New York City
Ulster,County Total,2001,,3500,359,3,18,43,295,3141,562,2415,164,Non-New York City
Chautauqua,Chautauqua County Sheriff,2009,12,828,24,0,6,1,17,804,192,594,18,Non-New York City
Ulster,Olive Town PD,1990,,17,1,0,0,0,1,16,9,6,1,Non-New York City
